Buzzword,Points
On Purpose,0
,1234
hi,1234
Only A Phrase Won't Do
Only Integers Allowed,3.14159
Above My Pay Grade,400
Action Item,350
Actionable,100
Analysis Paralysis,450
Benchmark,400
Best Practice,225
Best of Breed,400
Big Picture,225
Blockchain,450
Bottom Line,375
Brick-And-Mortar,325
Business Case,100
Capitalize,375
Change Agent,225
Circle Back,250
Client-Focused,350
Client-Server,225
Close The Loop,400
Come-To-Jesus Moment,420
Competitive Advantage,225
Connect the Dots,375
Contingency Plan,350
Core Business,150
Core Competency,475
Cost Effective,225
Cross-Platform,475
Customer-Centric,450
Customer-Driven,450
Delight The Customer,200
Deliverable,400
Dockerize,300
Doing Agile,400
Drill Down,450
Drinking The Kool-Aid,375
Efficient,475
Empowerment,350
End Of The Day,400
Enterprise,350
Exceed Expectations,225
Fast Track,225
Future-Proof,100
Game Plan,400
Going Forward,500
Growth Hacking,200
Heads-Up,350
In The Cloud,225
Incentivize,250
Innovative,150
Integrated,100
Knowledge Base,125
Lessons Learned,400
Leverage,500
Low-Hanging Fruit,300
Machine Learning,325
Market-Driven,200
Maximize,500
Methodology,450
Microservice,225
Middleware,225
Mindset,450
Mindshare,350
Mobile First,125
Monetize,225
Next Level,375
On The Radar,375
On The Same Page,475
Outsource,375
Outside The Box,375
Paradigm Shift,475
Performance Indicators,150
Phased Approach,200
Planning Horizon,400
Prioritize,400
Proactive,500
Problem Space,450
Process Assessment,225
Proof Of Concept,375
Push The Envelope,250
Raise The Bar,100
Reach Out,150
Real World,100
Repurpose,100
Results Driven,100
Rock-Star Ninja,500
Serverless,350
Shareholder Value,475
Solution,225
Stakeholder,100
Strategic Fit,300
Streamline,125
Synergize,250
Take Offline,250
Talking Points,125
Team Player,150
Teamwork,475
Time-Critical,450
Top-Down,400
Total Quality,125
Touch Base,250
Upsell,225
User-Centric,100
User Engagement,275
Value-Added,250
Vertical Market,450
Visibility,400
Walk The Talk,400
Web-Enabled,475
Win-Win,350
Work Smarter,350
World-Class,350
Zero to Hero,225



